Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type|Query
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|96|hash|id|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|147|hash|id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|151|hash|id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|157|hash|id|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|101|hash|name|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|151|hash|name|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|hash|name|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|hash|name|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|99|hash|regionId|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|146|hash|regionId|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|155|hash|regionId|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|153|hash|regionId|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|96|range|id|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|145|range|id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|160|range|id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|155|range|id|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|96|range|name|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|147|range|name|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|range|name|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|156|range|name|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|96|range|regionId|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|146|range|regionId|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|150|range|regionId|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|159|range|regionId|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|94|default|id|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|148|default|id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|155|default|id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|default|id|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|96|default|name|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|147|default|name|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|153|default|name|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|default|name|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|96|default|regionId|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|147|default|regionId|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|157|default|regionId|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|default|regionId|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|130|edgeHash|id|Snapshot
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|165|edgeHash|id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|181|edgeHash|id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|175|edgeHash|id|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|all|null|null|false|true|253|edgeRange|id|Snapshot
